review,processed_text,sentiment_score,sentiment_label
tolong kalo beli gojek plus premiumkan benefitnya rb gratis ongkir pake plus bebas minimal ribu karna ratarata harga makanan segitu terpaksa beli gak bedanya ama gak worth it,"['tolong', 'kalo', 'beli', 'gojek', 'plus', 'premium', 'benefitnya', 'rb', 'gratis', 'ongkir', 'pake', 'plus', 'bebas', 'minimal', 'ribu', 'karna', 'ratarata', 'harga', 'makan', 'segitu', 'paksa', 'beli', 'gak', 'beda', 'ama', 'gak', 'worth', 'it']",-12,Negative
tanda posisi driver pesan gofood nggak posisinya bug tolong diperbaiki nyaman notifikasi posisi driver,"['tanda', 'posisi', 'driver', 'pesan', 'gofood', 'nggak', 'posisi', 'bug', 'tolong', 'baik', 'nyaman', 'notifikasi', 'posisi', 'driver']",-7,Negative
bagus kecewa krna promo memilih metode pembayaran dulunya memilih gojek apk sebelah memilih apk sebelah krna promo tunai,"['bagus', 'kecewa', 'krna', 'promo', 'pilih', 'metode', 'bayar', 'dulunya', 'pilih', 'gojek', 'apk', 'belah', 'pilih', 'apk', 'belah', 'krna', 'promo', 'tunai']",-19,Negative
aplikasi kecewa gojek data riwayat transaksi pengguna indikasi kesengajaan membayar tagihan lupa wa menagih nomor pengguna orang terdekat penggunaan bahasa enak tidah pelatihan tim bertugas menagih ditinjau penilaian diganti,"['aplikasi', 'kecewa', 'gojek', 'data', 'riwayat', 'transaksi', 'guna', 'indikasi', 'sengaja', 'bayar', 'tagih', 'lupa', 'wa', 'tagih', 'nomor', 'guna', 'orang', 'dekat', 'guna', 'bahasa', 'enak', 'tidah', 'latih', 'tim', 'tugas', 'tagih', 'tinjau', 'nilai', 'ganti']",-36,Negative
ga aps gojeknya ga suka iklan pop up gofood yg muncul pakai model ga paham konsepnya gimana pakai rumah tangga gofood udah muncul youtube main game iklannya wajah ga pasang iklan dimanapun ga suka liat pop up dimana ganti rating kontrak model iklannya dah diganti,"['ga', 'aps', 'gojek', 'ga', 'suka', 'iklan', 'pop', 'up', 'gofood', 'yg', 'muncul', 'pakai', 'model', 'ga', 'paham', 'konsep', 'gimana', 'pakai', 'rumah', 'tangga', 'gofood', 'udah', 'muncul', 'youtube', 'main', 'game', 'iklan', 'wajah', 'ga', 'pasang', 'iklan', 'mana', 'ga', 'suka', 'liat', 'pop', 'up', 'mana', 'ganti', 'rating', 'kontrak', 'model', 'iklan', 'dah', 'ganti']",5,Positive
dibutuhkan kode otp top up gopay ditunggu ga kiriman kode otp kecewa sy apk transportasi sebelah semoga sistem layanannya asli mengganggu,"['butuh', 'kode', 'otp', 'top', 'up', 'gopay', 'tunggu', 'ga', 'kirim', 'kode', 'otp', 'kecewa', 'sy', 'apk', 'transportasi', 'belah', 'moga', 'sistem', 'layan', 'asli', 'ganggu']",-18,Negative
aplikasi gajelas nya apk yg udh selevel saldo masuk nominal kenyamanan user ga habis pikir nya saldo terkirim pengirim sayagajelas,"['aplikasi', 'gajelas', 'nya', 'apk', 'yg', 'udh', 'level', 'saldo', 'masuk', 'nominal', 'nyaman', 'user', 'ga', 'habis', 'pikir', 'nya', 'saldo', 'kirim', 'kirim', 'sayagajelas']",0,Neutral
insiden ga sengaja klik pesan langsung cancel ga konfirmasi resto driver responnya ga bagus call center jawabannya biar ga terulang unsinstal aplikasi penggunanya tahunan riwayat penggunanya suka cancel orderan gojek bertahuntahun perihal kaya gini aja becus,"['insiden', 'ga', 'sengaja', 'klik', 'pesan', 'langsung', 'cancel', 'ga', 'konfirmasi', 'resto', 'driver', 'responnya', 'ga', 'bagus', 'call', 'center', 'jawab', 'biar', 'ga', 'ulang', 'unsinstal', 'aplikasi', 'guna', 'tahun', 'riwayat', 'guna', 'suka', 'cancel', 'order', 'gojek', 'bertahuntahun', 'perihal', 'kaya', 'gin', 'aja', 'becus']",-23,Negative
apk bagus mohon akses pembaca layarnya tunanetra pembatalan pesanan nggak akses pembaca layarnya tunanetra ikon cat telphon font kebaca ngangkat telphon driver kesulitan trima kasih,"['apk', 'bagus', 'mohon', 'akses', 'baca', 'layar', 'tunanetra', 'batal', 'pesan', 'nggak', 'akses', 'baca', 'layar', 'tunanetra', 'ikon', 'cat', 'telphon', 'font', 'baca', 'ngangkat', 'telphon', 'driver', 'sulit', 'trima', 'kasih']",-16,Negative
bingung limit pay later dinaikkan diblokir limit credit maksimal sebulan bayar tagihan memangnya disuruh hutang sih promonya aneh ketik promo gokantor dibilang pakai promo gak mengetik promo jujur aplikasi gojek kesini berat biayanya mahal pesan go food ongkirnya ngeri🤦‍♀️,"['bingung', 'limit', 'pay', 'later', 'naik', 'blokir', 'limit', 'credit', 'maksimal', 'bulan', 'bayar', 'tagih', 'memang', 'suruh', 'hutang', 'sih', 'promonya', 'aneh', 'ketik', 'promo', 'gokantor', 'bilang', 'pakai', 'promo', 'gak', 'etik', 'promo', 'jujur', 'aplikasi', 'gojek', 'kesini', 'berat', 'biaya', 'mahal', 'pesan', 'go', 'food', 'ongkirnya', 'ngeri']",-21,Negative
order go car susahnya ampun jaringan stabil berkalikali munculnya ops something went wrong udh coba beralih wifi data gimana nasib adek pinggir jalan nunggu benerin gak,"['order', 'go', 'car', 'susah', 'ampun', 'jaring', 'stabil', 'berkalikali', 'muncul', 'ops', 'something', 'went', 'wrong', 'udh', 'coba', 'alih', 'wifi', 'data', 'gimana', 'nasib', 'adek', 'pinggir', 'jalan', 'nunggu', 'benerin', 'gak']",-11,Negative
aplikasinya bagus gampang dipake bngt promo saran gojek menyediakan fitur keranjang marketplace riwayat pesanan tolong dibenahi riwayat pesan,"['aplikasi', 'bagus', 'gampang', 'dipake', 'bngt', 'promo', 'saran', 'gojek', 'sedia', 'fitur', 'keranjang', 'marketplace', 'riwayat', 'pesan', 'tolong', 'benah', 'riwayat', 'pesan']",-17,Negative
kecewa harga rb karna diskon rbpas cek menu menu yg lainlalu beli yg rb tdimalah harganya rb sdh diskon rb gimana sih apk nyaawalnya gak langsung coba cek menu masuk masuk rbkalau masuk beli yg td rbhedehhh pilih menu yg sebentar pas masuk dipencet diskon harga nya beda 🥲🥲🥲🥲,"['kecewa', 'harga', 'rb', 'karna', 'diskon', 'rbpas', 'cek', 'menu', 'menu', 'yg', 'lainlalu', 'beli', 'yg', 'rb', 'tdimalah', 'harga', 'rb', 'sdh', 'diskon', 'rb', 'gimana', 'sih', 'apk', 'nyaawalnya', 'gak', 'langsung', 'coba', 'cek', 'menu', 'masuk', 'masuk', 'rbkalau', 'masuk', 'beli', 'yg', 'td', 'rbhedehhh', 'pilih', 'menu', 'yg', 'sebentar', 'pas', 'masuk', 'pencet', 'diskon', 'harga', 'nya', 'beda']",-14,Negative
kali pesan gocar susah jaringan internet full diklik batalkan pesanan aplikasi ditutup nyangkut drivernya ditelpon drivernya bener bener dibatalkan pesanan gak tega drivernya yg dititik penjemputan gak saldoku terpotong sesuai perjalanan murah sih sebelah merepotkan,"['kali', 'pesan', 'gocar', 'susah', 'jaring', 'internet', 'full', 'klik', 'batal', 'pesan', 'aplikasi', 'tutup', 'nyangkut', 'drivernya', 'telpon', 'drivernya', 'bener', 'bener', 'batal', 'pesan', 'gak', 'tega', 'drivernya', 'yg', 'titik', 'jemput', 'gak', 'saldo', 'potong', 'sesuai', 'jalan', 'murah', 'sih', 'belah', 'repot']",-44,Negative
ketipu biaya penanganan ngecek top up gopay pas udah top up klik beli biaya penanganan berubah mahal sia top up jdnya tolong yg aplikasinya,"['tipu', 'biaya', 'tangan', 'ngecek', 'top', 'up', 'gopay', 'pas', 'udah', 'top', 'up', 'klik', 'beli', 'biaya', 'tangan', 'ubah', 'mahal', 'sia', 'top', 'up', 'jdnya', 'tolong', 'yg', 'aplikasi']",7,Positive
batalkan pesanan tulisan batalkan pesanan tolong kasih lumayan membatalkan detik pesan dibatalkan kasusnya orang salah pencet minimal detik customer mempertimbangkan toko menunggu detik pesanan,"['batal', 'pesan', 'tulis', 'batal', 'pesan', 'tolong', 'kasih', 'lumayan', 'batal', 'detik', 'pesan', 'batal', 'kasus', 'orang', 'salah', 'pencet', 'minimal', 'detik', 'customer', 'timbang', 'toko', 'tunggu', 'detik', 'pesan']",-48,Negative
payah banget aplikasi bayar gak prnh telat limit tp gopay later gak bs dipake gopay pinjam gak mending hapus aja aplikasi bnyk kendaraan online yg bs dipake udah bangkrut kali gojek nya mahal,"['payah', 'banget', 'aplikasi', 'bayar', 'gak', 'prnh', 'telat', 'limit', 'tp', 'gopay', 'later', 'gak', 'bs', 'dipake', 'gopay', 'pinjam', 'gak', 'mending', 'hapus', 'aja', 'aplikasi', 'bnyk', 'kendara', 'online', 'yg', 'bs', 'dipake', 'udah', 'bangkrut', 'kali', 'gojek', 'nya', 'mahal']",-24,Negative
aplikasi nya bagustapi pemesanan makanannya ya atur lahkalau rumah restorannya ya g atur atur pilih restoran yg deketkalau dingin tergantung yg mesanngingatin pilih yg dekatkalau g yg gimanajadi makan,"['aplikasi', 'nya', 'bagustapi', 'mesan', 'makan', 'ya', 'atur', 'lahkalau', 'rumah', 'restoran', 'ya', 'g', 'atur', 'atur', 'pilih', 'restoran', 'yg', 'deketkalau', 'dingin', 'gantung', 'yg', 'mesanngingatin', 'pilih', 'yg', 'dekatkalau', 'g', 'yg', 'gimanajadi', 'makan']",-24,Negative
mengecewakan pesan gofood mempermudah cepet driver yg melayani orderan gofood resto drivernya mengantarkan mengecewakan yg berharap cepat melayani orang orderan,"['kecewa', 'pesan', 'gofood', 'mudah', 'cepet', 'driver', 'yg', 'layan', 'order', 'gofood', 'resto', 'drivernya', 'antar', 'kecewa', 'yg', 'harap', 'cepat', 'layan', 'orang', 'order']",-12,Negative
gofood pickup banget smpai makanannya sengaja dikasih estimate cepat fi aplikasi jd ngasih harapan dtg cepat aslinya mah tetep sy g ngasih bintang serius mengecewakan menghargai usaha driver sistem duh nggak ngerti g ditingkatkan aja fiturnya customer dpt opsi request diantar,"['gofood', 'pickup', 'banget', 'smpai', 'makan', 'sengaja', 'kasih', 'estimate', 'cepat', 'fi', 'aplikasi', 'jd', 'ngasih', 'harap', 'dtg', 'cepat', 'asli', 'mah', 'tetep', 'sy', 'g', 'ngasih', 'bintang', 'serius', 'kecewa', 'harga', 'usaha', 'driver', 'sistem', 'duh', 'nggak', 'ngerti', 'g', 'tingkat', 'aja', 'fiturnya', 'customer', 'dpt', 'opsi', 'request', 'antar']",-33,Negative
aplikasinya bosok order mobil kebaca map gak jalan cancel ganti mobil mobil dicancel dimakimaki tolong perbaiki aplikasi sikap drivernya gak sopan,"['aplikasi', 'bosok', 'order', 'mobil', 'baca', 'map', 'gak', 'jalan', 'cancel', 'ganti', 'mobil', 'mobil', 'dicancel', 'dimakimaki', 'tolong', 'baik', 'aplikasi', 'sikap', 'drivernya', 'gak', 'sopan']",-10,Negative
habis pikir kondisi aplikasi terkadang susah diakses berkalikali menemukan driver kompain dasar harga yg tertera aplikasi mengalami tegoran enak driver semoga perbaiki kedepannya,"['habis', 'pikir', 'kondisi', 'aplikasi', 'terkadang', 'susah', 'akses', 'berkalikali', 'temu', 'driver', 'kompain', 'dasar', 'harga', 'yg', 'tera', 'aplikasi', 'alami', 'tegoran', 'enak', 'driver', 'moga', 'baik', 'depan']",-13,Negative
pesan go food datangnya sy chat abang ojolnya gak bales order gabungan diya chat sy masuk order selesai abang ojolnya trus gimana nasibnya si orderan abang ojolnya gak ketemu alamatnya keburu kelaparan kasih notip kek abang ojolnya pesanan udah mahal harga ofline ongkos kirim mahal biaya aplikasi biaya bungkus iya cepet sih oke driver kena gabungan dihubungi,"['pesan', 'go', 'food', 'datang', 'sy', 'chat', 'abang', 'ojolnya', 'gak', 'bales', 'order', 'gabung', 'diya', 'chat', 'sy', 'masuk', 'order', 'selesai', 'abang', 'ojolnya', 'trus', 'gimana', 'nasib', 'si', 'order', 'abang', 'ojolnya', 'gak', 'ketemu', 'alamat', 'keburu', 'lapar', 'kasih', 'notip', 'kek', 'abang', 'ojolnya', 'pesan', 'udah', 'mahal', 'harga', 'ofline', 'ongkos', 'kirim', 'mahal', 'biaya', 'aplikasi', 'biaya', 'bungkus', 'iya', 'cepet', 'sih', 'oke', 'driver', 'kena', 'gabung', 'hubung']",-31,Negative
pelayanan goride bagus gocarnya driver ambil pesanan dikirim pesan telepon dibalas jam menunggu mobil driver map gojek berjalan titik jemput sengaja menjemput komplain email diarahkan bantuan apk yg apk gojek laporan keluhan kecewa,"['layan', 'goride', 'bagus', 'gocarnya', 'driver', 'ambil', 'pesan', 'kirim', 'pesan', 'telepon', 'balas', 'jam', 'tunggu', 'mobil', 'driver', 'map', 'gojek', 'jalan', 'titik', 'jemput', 'sengaja', 'jemput', 'komplain', 'email', 'arah', 'bantu', 'apk', 'yg', 'apk', 'gojek', 'lapor', 'keluh', 'kecewa']",-30,Negative
